id_konsultasi,tgl_booking,id_klien,nama_klien,domisili_kota,kode_layanan,nama_layanan,kategori_layanan,biaya_jasa,durasi_menit,id_konsultan,nama_konsultan,kanal_sesi,skor_kepuasan_klien_1_5,status_penyelesaian,diskon_promo_voucher
ADV-SRV-2025470,2025-04-29 11:01:00,KLN-936,Keluarga Ali Wijaya,Jakarta Selatan,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025471,2025-09-27 12:24:00,KLN-1181,Ibu Harun Utami,Jakarta Selatan,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Dalam Proses Analisis,0
ADV-SRV-2025472,2025-12-11 09:48:00,KLN-1282,Keluarga Salma Ramadhan,Depok,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025473,2025-07-04 16:26:00,KLN-135,Ibu Muhammad Nugroho,Bekasi,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025474,2025-11-18 07:18:00,KLN-319,Bpk. Ilham Santoso,Bogor,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Private Mentoring Google Meet,5,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025475,2025-01-18 16:58:00,KLN-601,Ibu Putri Kusuma,Surabaya,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025476,2025-12-20 20:46:00,KLN-1808,Keluarga Taufiq Nugroho,Bogor,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025477,2025-08-23 21:59:00,KLN-779,Keluarga Ilham Hidayat,Depok,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Dalam Proses Analisis,0
ADV-SRV-2025478,2025-05-21 11:30:00,KLN-1315,Ibu Taufiq Hakim,Kuala Lumpur (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,5,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025479,2025-11-02 08:54:00,KLN-176,Keluarga Laila Santoso,Surabaya,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Tatap Muka Kantor Advisory,5,Dalam Proses Analisis,0
ADV-SRV-2025480,2025-08-03 15:16:00,KLN-828,Ibu Farhan Kusuma,Kuala Lumpur (Online),SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025481,2025-08-01 07:10:00,KLN-212,Bpk. Ali Nugroho,Surabaya,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025482,2025-11-28 15:28:00,KLN-1151,Bpk. Harun Pratama,Bekasi,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Private Mentoring Google Meet,3,Dalam Proses Analisis,0
ADV-SRV-2025483,2025-12-12 20:49:00,KLN-1598,Ibu Ilham Lestari,Bekasi,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,100000
ADV-SRV-2025484,2025-10-26 13:44:00,KLN-1138,Bpk. Muhammad Saputra,Bandung,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,4,Selesai & Laporan Terbit,0
ADV-SRV-2025485,2025-01-11 18:30:00,KLN-1835,Ibu Aisyah Suryono,Yogyakarta,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,4,Selesai & Laporan Terbit,100000
ADV-SRV-2025486,2025-11-07 19:00:00,KLN-1567,Ibu Ali Hakim,Bekasi,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Private Mentoring Google Meet,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025487,2025-03-28 08:29:00,KLN-891,Keluarga Nurul Hakim,Singapura (Online),SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025488,2025-11-26 09:30:00,KLN-363,Ibu Ibrahim Suryono,Yogyakarta,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025489,2025-10-18 14:02:00,KLN-327,Bpk. Zaid Lestari,Bogor,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Dalam Proses Analisis,0
ADV-SRV-2025490,2025-01-16 19:20:00,KLN-840,Bpk. Salma Firmansyah,Jakarta Selatan,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025491,2025-11-18 09:09:00,KLN-1183,Bpk. Hasan Hidayat,Bandung,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025492,2025-05-12 19:28:00,KLN-305,Keluarga Fikri Kusuma,Bandung,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Private Mentoring Google Meet,2,Jadwal Ulang (Rescheduled),250000
ADV-SRV-2025493,2025-10-02 09:10:00,KLN-554,Ibu Muhammad Santoso,Bekasi,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025494,2025-11-07 20:20:00,KLN-163,Bpk. Ilham Maulana,Bekasi,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025495,2025-10-20 21:56:00,KLN-637,Ibu Azizah Maulana,Kuala Lumpur (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),100000
ADV-SRV-2025496,2025-06-14 18:11:00,KLN-1338,Keluarga Nurul Suryono,Tangerang Selatan,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025497,2025-11-27 15:40:00,KLN-1991,Bpk. Zaid Hakim,Kuala Lumpur (Online),SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,4,Selesai & Laporan Terbit,0
ADV-SRV-2025498,2025-09-17 12:27:00,KLN-1566,Keluarga Umar Firmansyah,Depok,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025499,2025-02-23 16:34:00,KLN-908,Keluarga Dina Pratama,Singapura (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,4,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025500,2025-03-15 09:59:00,KLN-994,Ibu Muhammad Saputra,Jakarta Selatan,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025501,2025-03-07 17:56:00,KLN-893,Bpk. Farhan Utami,Yogyakarta,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025502,2025-05-16 20:22:00,KLN-1621,Ibu Umar Suryono,Tangerang Selatan,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025503,2025-11-12 16:16:00,KLN-1169,Bpk. Fikri Nugroho,Bandung,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,4,Dalam Proses Analisis,250000
ADV-SRV-2025504,2025-09-20 16:02:00,KLN-1808,Bpk. Umar Nugroho,Bekasi,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025505,2025-06-29 16:31:00,KLN-1962,Bpk. Azizah Lestari,Tangerang Selatan,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,4,Dalam Proses Analisis,0
ADV-SRV-2025506,2025-01-30 13:38:00,KLN-1025,Keluarga Ibrahim Nugroho,Yogyakarta,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025507,2025-07-29 12:41:00,KLN-1278,Bpk. Maryam Santoso,Bogor,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025508,2025-05-15 11:37:00,KLN-1039,Ibu Nurul Santoso,Tangerang Selatan,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025509,2025-10-09 21:53:00,KLN-1276,Ibu Rizky Ramadhan,Singapura (Online),SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,5,Dalam Proses Analisis,500000
ADV-SRV-2025510,2025-01-20 20:55:00,KLN-1653,Bpk. Fikri Utami,Bogor,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,3,Selesai & Laporan Terbit,250000
ADV-SRV-2025511,2025-06-26 07:26:00,KLN-1002,Bpk. Zahra Wijaya,Kuala Lumpur (Online),SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025512,2025-03-02 20:00:00,KLN-744,Keluarga Ahmad Hidayat,Bogor,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025513,2025-06-08 14:18:00,KLN-1982,Bpk. Rania Kusuma,Singapura (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025514,2025-08-22 13:38:00,KLN-1440,Ibu Dina Maulana,Yogyakarta,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025515,2025-08-26 13:41:00,KLN-1080,Keluarga Khadijah Ramadhan,Surabaya,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Dalam Proses Analisis,0
ADV-SRV-2025516,2025-08-03 14:56:00,KLN-1679,Keluarga Rania Kusuma,Bandung,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025517,2025-09-10 14:37:00,KLN-414,Keluarga Ahmad Santoso,Bandung,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Private Mentoring Google Meet,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025518,2025-02-08 12:28:00,KLN-1519,Keluarga Aisyah Ramadhan,Kuala Lumpur (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,5,Dalam Proses Analisis,0
ADV-SRV-2025519,2025-07-10 09:46:00,KLN-573,Ibu Muhammad Utami,Bandung,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025520,2025-08-13 19:42:00,KLN-1542,Bpk. Laila Firmansyah,Depok,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025521,2025-04-29 11:32:00,KLN-1431,Ibu Salma Nugroho,Jakarta Selatan,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Private Mentoring Google Meet,5,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025522,2025-04-14 18:27:00,KLN-1753,Keluarga Nisa Nugroho,Bogor,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025523,2025-06-14 17:16:00,KLN-946,Ibu Muhammad Nugroho,Surabaya,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025524,2025-03-29 14:26:00,KLN-1553,Bpk. Aisyah Saputra,Depok,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025525,2025-11-12 10:05:00,KLN-245,Bpk. Rafi Hakim,Tangerang Selatan,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025526,2025-08-18 07:01:00,KLN-1107,Bpk. Nurul Hidayat,Jakarta Selatan,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025527,2025-08-22 10:49:00,KLN-1448,Keluarga Rania Santoso,Kuala Lumpur (Online),SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025528,2025-04-22 12:55:00,KLN-137,Bpk. Laila Saputra,Kuala Lumpur (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,4,Selesai & Laporan Terbit,500000
ADV-SRV-2025529,2025-03-17 21:48:00,KLN-1600,Bpk. Safira Nugroho,Jakarta Selatan,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Tatap Muka Kantor Advisory,4,Dalam Proses Analisis,0
ADV-SRV-2025530,2025-05-02 07:07:00,KLN-1145,Keluarga Harun Suryono,Jakarta Selatan,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,5,Dalam Proses Analisis,0
ADV-SRV-2025531,2025-12-04 17:50:00,KLN-380,Ibu Rafi Hakim,Depok,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,4,Selesai & Laporan Terbit,0
ADV-SRV-2025532,2025-02-15 11:52:00,KLN-1973,Bpk. Rafi Hakim,Kuala Lumpur (Online),SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,4,Jadwal Ulang (Rescheduled),250000
ADV-SRV-2025533,2025-09-27 08:00:00,KLN-557,Bpk. Fikri Nugroho,Kuala Lumpur (Online),SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,3,Selesai & Laporan Terbit,0
ADV-SRV-2025534,2025-07-21 18:58:00,KLN-1384,Bpk. Hasan Hidayat,Bekasi,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025535,2025-04-10 13:02:00,KLN-188,Bpk. Fatimah Wijaya,Depok,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,100000
ADV-SRV-2025536,2025-01-25 19:36:00,KLN-455,Ibu Nisa Saputra,Bandung,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025537,2025-06-08 10:01:00,KLN-821,Keluarga Umar Kusuma,Kuala Lumpur (Online),SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025538,2025-04-06 19:00:00,KLN-637,Keluarga Zahra Ramadhan,Bogor,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025539,2025-11-04 18:52:00,KLN-1202,Bpk. Dina Lestari,Bekasi,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Private Mentoring Google Meet,4,Selesai & Laporan Terbit,500000
ADV-SRV-2025540,2025-01-23 13:48:00,KLN-1832,Ibu Salma Suryono,Yogyakarta,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,500000
ADV-SRV-2025541,2025-08-24 11:39:00,KLN-660,Keluarga Aisyah Saputra,Singapura (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,100000
ADV-SRV-2025542,2025-02-22 13:48:00,KLN-1687,Ibu Rania Suryono,Bekasi,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025543,2025-03-01 15:23:00,KLN-151,Keluarga Muhammad Utami,Yogyakarta,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025544,2025-06-24 17:38:00,KLN-1554,Keluarga Hana Pratama,Bandung,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Private Mentoring Google Meet,4,Dalam Proses Analisis,0
ADV-SRV-2025545,2025-05-19 08:18:00,KLN-533,Keluarga Ibrahim Lestari,Tangerang Selatan,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Dalam Proses Analisis,0
ADV-SRV-2025546,2025-04-03 19:07:00,KLN-1971,Keluarga Hana Lestari,Bogor,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025547,2025-08-16 12:16:00,KLN-679,Ibu Hasan Maulana,Bekasi,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025548,2025-02-17 10:01:00,KLN-1359,Keluarga Danang Wijaya,Bandung,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025549,2025-10-07 21:02:00,KLN-409,Ibu Azizah Saputra,Bekasi,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Dalam Proses Analisis,500000
ADV-SRV-2025550,2025-07-15 18:48:00,KLN-595,Ibu Laila Kusuma,Bogor,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025551,2025-02-02 18:39:00,KLN-278,Keluarga Laila Utami,Yogyakarta,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Private Mentoring Google Meet,5,Dalam Proses Analisis,100000
ADV-SRV-2025552,2025-04-19 16:01:00,KLN-492,Keluarga Muhammad Hidayat,Singapura (Online),SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025553,2025-04-05 19:55:00,KLN-338,Ibu Hasan Wijaya,Bekasi,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Dalam Proses Analisis,0
ADV-SRV-2025554,2025-10-26 18:51:00,KLN-763,Keluarga Rafi Maulana,Bogor,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025555,2025-11-03 14:50:00,KLN-844,Bpk. Taufiq Ramadhan,Tangerang Selatan,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,500000
