nomor_kontrak,id_konsumen,nama_konsumen,kode_proyek,tipe_unit,luas_bangunan_m2,luas_tanah_m2,tgl_akad,skema_akad,harga_pokok_developer,margin_keuntungan,total_harga_jual,uang_muka_dp,tenor_bulan,angsuran_per_bulan,angsuran_ke,total_terbayar,sisa_piutang,status_kelancaran
KTR-AGP-2025798,KNS-1044,Aisyah Suryono,PRJ-05,Tipe 36/60,36,60,2025-08-05 09:53:00,Murabahah (Jual Beli Angsuran),240000000,72000000,312000000,31200000,60,4680000,6,59280000,252720000,Dalam Pantauan
KTR-AGP-2025799,KNS-2693,Muhammad Ramadhan,PRJ-02,Tipe 45/72,45,72,2025-11-15 15:50:00,Cash Keras Bertahap,380000000,114000000,494000000,247000000,60,4116666,1,251116666,242883334,Tertunggak >60 Hari
KTR-AGP-2025800,KNS-810,Danang Wijaya,PRJ-05,Tipe 120/150 VIP,120,150,2025-09-11 18:31:00,Cash Keras Bertahap,1250000000,275000000,1525000000,152500000,120,11437500,36,564250000,960750000,Lancar
KTR-AGP-2025801,KNS-2257,Rafi Nugroho,PRJ-03,Tipe 36/60,36,60,2025-05-29 07:37:00,IMBT (Sewa Beli / Leasing),240000000,72000000,312000000,156000000,24,6500000,20,286000000,26000000,Lancar
KTR-AGP-2025802,KNS-1544,Ibrahim Suryono,PRJ-03,Tipe 36/60,36,60,2025-10-15 19:22:00,Cash Keras Bertahap,240000000,72000000,312000000,31200000,60,4680000,19,120120000,191880000,Lancar
KTR-AGP-2025803,KNS-172,Hana Suryono,PRJ-05,Tipe 120/150 VIP,120,150,2025-06-18 18:35:00,Istishna' (Pesan Bangun),1250000000,275000000,1525000000,762500000,60,12708333,3,800624999,724375001,Tertunggak 1-30 Hari
KTR-AGP-2025804,KNS-522,Khadijah Hidayat,PRJ-03,Tipe 60/90,60,90,2025-10-14 17:07:00,Istishna' (Pesan Bangun),540000000,97200000,637200000,63720000,84,6827142,25,234398550,402801450,Lunas Dini
KTR-AGP-2025805,KNS-1599,Hana Ramadhan,PRJ-01,Tipe 45/72,45,72,2025-05-16 17:17:00,Istishna' (Pesan Bangun),380000000,68400000,448400000,224200000,120,1868333,2,227936666,220463334,Lancar
KTR-AGP-2025806,KNS-2270,Fatimah Santoso,PRJ-03,Tipe 84/120,84,120,2025-12-26 13:45:00,IMBT (Sewa Beli / Leasing),780000000,195000000,975000000,195000000,84,9285714,28,454999992,520000008,Lunas Dini
KTR-AGP-2025807,KNS-2905,Fikri Hidayat,PRJ-05,Tipe 60/90,60,90,2025-05-09 10:04:00,IMBT (Sewa Beli / Leasing),540000000,135000000,675000000,67500000,36,16875000,5,151875000,523125000,Dalam Pantauan
KTR-AGP-2025808,KNS-814,Muhammad Wijaya,PRJ-04,Tipe 36/60,36,60,2025-07-05 18:40:00,Cash Keras Bertahap,240000000,72000000,312000000,62400000,36,6933333,22,214933326,97066674,Lancar
KTR-AGP-2025809,KNS-1465,Azizah Santoso,PRJ-01,Tipe 84/120,84,120,2025-05-07 09:49:00,Istishna' (Pesan Bangun),780000000,234000000,1014000000,101400000,36,25350000,6,253500000,760500000,Lunas Dini
KTR-AGP-2025810,KNS-2969,Muhammad Santoso,PRJ-03,Tipe 84/120,84,120,2025-08-09 18:19:00,Murabahah (Jual Beli Angsuran),780000000,234000000,1014000000,101400000,120,7605000,16,223080000,790920000,Lancar
KTR-AGP-2025811,KNS-2434,Farhan Utami,PRJ-04,Tipe 60/90,60,90,2025-04-16 17:42:00,Istishna' (Pesan Bangun),540000000,118800000,658800000,197640000,24,19215000,7,332145000,326655000,Lancar
KTR-AGP-2025812,KNS-2361,Zaid Saputra,PRJ-05,Tipe 120/150 VIP,120,150,2025-12-16 19:30:00,Cash Keras Bertahap,1250000000,375000000,1625000000,812500000,120,6770833,19,941145827,683854173,Lunas Dini
KTR-AGP-2025813,KNS-2309,Azizah Hakim,PRJ-04,Tipe 36/60,36,60,2025-11-27 13:25:00,Murabahah (Jual Beli Angsuran),240000000,52800000,292800000,58560000,36,6506666,7,104106662,188693338,Tertunggak 1-30 Hari
KTR-AGP-2025814,KNS-2500,Harun Ramadhan,PRJ-04,Tipe 45/72,45,72,2025-11-14 12:38:00,Cash Keras Bertahap,380000000,114000000,494000000,49400000,84,5292857,17,139378569,354621431,Lancar
KTR-AGP-2025815,KNS-2180,Salma Wijaya,PRJ-01,Tipe 84/120,84,120,2025-05-12 16:14:00,Cash Keras Bertahap,780000000,234000000,1014000000,507000000,120,4225000,7,536575000,477425000,Lancar
KTR-AGP-2025816,KNS-223,Danang Wijaya,PRJ-02,Tipe 45/72,45,72,2025-08-08 13:48:00,Istishna' (Pesan Bangun),380000000,83600000,463600000,231800000,84,2759523,28,309066644,154533356,Lunas Dini
KTR-AGP-2025817,KNS-1563,Putri Suryono,PRJ-04,Tipe 36/60,36,60,2025-04-16 18:26:00,Istishna' (Pesan Bangun),240000000,52800000,292800000,87840000,120,1708000,35,147620000,145180000,Lancar
KTR-AGP-2025818,KNS-437,Umar Hakim,PRJ-01,Tipe 84/120,84,120,2025-06-17 18:45:00,Murabahah (Jual Beli Angsuran),780000000,171600000,951600000,475800000,36,13216666,28,845866648,105733352,Tertunggak >60 Hari
KTR-AGP-2025819,KNS-1743,Ilham Nugroho,PRJ-02,Tipe 60/90,60,90,2025-06-11 10:40:00,Cash Keras Bertahap,540000000,162000000,702000000,351000000,60,5850000,4,374400000,327600000,Tertunggak >60 Hari
KTR-AGP-2025820,KNS-525,Maryam Hidayat,PRJ-01,Tipe 120/150 VIP,120,150,2025-10-27 08:50:00,IMBT (Sewa Beli / Leasing),1250000000,312500000,1562500000,468750000,60,18229166,35,1106770810,455729190,Lancar
KTR-AGP-2025821,KNS-1538,Putri Wijaya,PRJ-01,Tipe 120/150 VIP,120,150,2025-03-16 13:58:00,Istishna' (Pesan Bangun),1250000000,312500000,1562500000,312500000,60,20833333,12,562499996,1000000004,Lancar
KTR-AGP-2025822,KNS-1271,Muhammad Utami,PRJ-05,Tipe 120/150 VIP,120,150,2025-01-03 13:52:00,IMBT (Sewa Beli / Leasing),1250000000,312500000,1562500000,781250000,84,9300595,12,892857140,669642860,Dalam Pantauan
KTR-AGP-2025823,KNS-1906,Ibrahim Santoso,PRJ-03,Tipe 36/60,36,60,2025-09-03 09:04:00,IMBT (Sewa Beli / Leasing),240000000,43200000,283200000,84960000,84,2360000,35,167560000,115640000,Lancar
KTR-AGP-2025824,KNS-1253,Ahmad Wijaya,PRJ-03,Tipe 36/60,36,60,2025-03-06 11:01:00,Murabahah (Jual Beli Angsuran),240000000,72000000,312000000,31200000,84,3342857,16,84685712,227314288,Tertunggak 1-30 Hari
KTR-AGP-2025825,KNS-757,Ilham Kusuma,PRJ-04,Tipe 60/90,60,90,2025-07-13 07:37:00,IMBT (Sewa Beli / Leasing),540000000,135000000,675000000,135000000,84,6428571,23,282857133,392142867,Dalam Pantauan
KTR-AGP-2025826,KNS-1401,Taufiq Kusuma,PRJ-05,Tipe 60/90,60,90,2025-05-10 14:56:00,Istishna' (Pesan Bangun),540000000,162000000,702000000,70200000,120,5265000,2,80730000,621270000,Tertunggak 1-30 Hari
KTR-AGP-2025827,KNS-1071,Hasan Wijaya,PRJ-04,Tipe 60/90,60,90,2025-05-19 14:34:00,Cash Keras Bertahap,540000000,97200000,637200000,191160000,60,7434000,19,332406000,304794000,Lancar
KTR-AGP-2025828,KNS-2670,Fikri Lestari,PRJ-03,Tipe 45/72,45,72,2025-07-07 19:20:00,IMBT (Sewa Beli / Leasing),380000000,95000000,475000000,142500000,60,5541666,14,220083324,254916676,Lancar
KTR-AGP-2025829,KNS-1405,Rania Santoso,PRJ-04,Tipe 36/60,36,60,2025-03-23 18:47:00,Cash Keras Bertahap,240000000,52800000,292800000,29280000,24,10980000,4,73200000,219600000,Tertunggak 1-30 Hari
KTR-AGP-2025830,KNS-626,Zahra Hakim,PRJ-03,Tipe 36/60,36,60,2025-11-12 13:17:00,IMBT (Sewa Beli / Leasing),240000000,60000000,300000000,30000000,60,4500000,30,165000000,135000000,Dalam Pantauan
KTR-AGP-2025831,KNS-1609,Aisyah Suryono,PRJ-05,Tipe 45/72,45,72,2025-11-19 16:02:00,Cash Keras Bertahap,380000000,83600000,463600000,92720000,60,6181333,22,228709326,234890674,Tertunggak 1-30 Hari
KTR-AGP-2025832,KNS-1007,Rafi Lestari,PRJ-03,Tipe 120/150 VIP,120,150,2025-02-11 20:39:00,Cash Keras Bertahap,1250000000,225000000,1475000000,147500000,24,55312500,17,1087812500,387187500,Tertunggak 1-30 Hari
KTR-AGP-2025833,KNS-2767,Rafi Firmansyah,PRJ-02,Tipe 84/120,84,120,2025-12-30 11:46:00,IMBT (Sewa Beli / Leasing),780000000,195000000,975000000,97500000,120,7312500,12,185250000,789750000,Dalam Pantauan
KTR-AGP-2025834,KNS-1492,Ilham Maulana,PRJ-05,Tipe 84/120,84,120,2025-09-15 08:57:00,Cash Keras Bertahap,780000000,171600000,951600000,285480000,60,11102000,12,418704000,532896000,Tertunggak 1-30 Hari
KTR-AGP-2025835,KNS-2971,Safira Santoso,PRJ-05,Tipe 45/72,45,72,2025-04-22 12:04:00,IMBT (Sewa Beli / Leasing),380000000,68400000,448400000,224200000,60,3736666,8,254093328,194306672,Tertunggak >60 Hari
KTR-AGP-2025836,KNS-1591,Ilham Ramadhan,PRJ-01,Tipe 36/60,36,60,2025-05-15 16:20:00,Murabahah (Jual Beli Angsuran),240000000,60000000,300000000,90000000,60,3500000,9,121500000,178500000,Lancar
KTR-AGP-2025837,KNS-693,Farhan Maulana,PRJ-05,Tipe 36/60,36,60,2025-11-12 15:57:00,IMBT (Sewa Beli / Leasing),240000000,60000000,300000000,90000000,120,1750000,15,116250000,183750000,Lunas Dini
KTR-AGP-2025838,KNS-1821,Nurul Maulana,PRJ-02,Tipe 120/150 VIP,120,150,2025-06-11 08:33:00,Murabahah (Jual Beli Angsuran),1250000000,275000000,1525000000,305000000,60,20333333,11,528666663,996333337,Lancar
KTR-AGP-2025839,KNS-315,Rafi Nugroho,PRJ-04,Tipe 120/150 VIP,120,150,2025-11-16 10:39:00,IMBT (Sewa Beli / Leasing),1250000000,375000000,1625000000,162500000,36,40625000,10,568750000,1056250000,Lancar
KTR-AGP-2025840,KNS-2780,Harun Lestari,PRJ-04,Tipe 60/90,60,90,2025-06-21 19:16:00,Istishna' (Pesan Bangun),540000000,162000000,702000000,140400000,60,9360000,14,271440000,430560000,Tertunggak 1-30 Hari
KTR-AGP-2025841,KNS-1446,Laila Saputra,PRJ-03,Tipe 45/72,45,72,2025-01-25 13:21:00,Murabahah (Jual Beli Angsuran),380000000,83600000,463600000,139080000,24,13521666,4,193166664,270433336,Lancar
KTR-AGP-2025842,KNS-2080,Khadijah Utami,PRJ-02,Tipe 36/60,36,60,2025-08-04 12:30:00,Cash Keras Bertahap,240000000,72000000,312000000,62400000,36,6933333,20,201066660,110933340,Lunas Dini
KTR-AGP-2025843,KNS-1717,Rania Santoso,PRJ-01,Tipe 36/60,36,60,2025-12-13 18:20:00,Cash Keras Bertahap,240000000,72000000,312000000,156000000,60,2600000,31,236600000,75400000,Tertunggak 1-30 Hari
KTR-AGP-2025844,KNS-2376,Harun Utami,PRJ-04,Tipe 84/120,84,120,2025-05-09 20:15:00,Murabahah (Jual Beli Angsuran),780000000,171600000,951600000,95160000,24,35685000,10,452010000,499590000,Tertunggak >60 Hari
KTR-AGP-2025845,KNS-1370,Ibrahim Nugroho,PRJ-03,Tipe 45/72,45,72,2025-10-06 18:01:00,Cash Keras Bertahap,380000000,83600000,463600000,92720000,24,15453333,8,216346664,247253336,Lancar
KTR-AGP-2025846,KNS-2443,Zaid Firmansyah,PRJ-05,Tipe 36/60,36,60,2025-02-10 21:52:00,Cash Keras Bertahap,240000000,60000000,300000000,90000000,120,1750000,35,151250000,148750000,Lancar
KTR-AGP-2025847,KNS-510,Fatimah Pratama,PRJ-01,Tipe 60/90,60,90,2025-02-18 14:01:00,IMBT (Sewa Beli / Leasing),540000000,118800000,658800000,65880000,36,16470000,20,395280000,263520000,Lancar
KTR-AGP-2025848,KNS-2737,Umar Ramadhan,PRJ-01,Tipe 60/90,60,90,2025-03-01 10:53:00,IMBT (Sewa Beli / Leasing),540000000,162000000,702000000,210600000,120,4095000,35,353925000,348075000,Lancar
KTR-AGP-2025849,KNS-1973,Nurul Saputra,PRJ-04,Tipe 120/150 VIP,120,150,2025-01-18 11:19:00,Istishna' (Pesan Bangun),1250000000,375000000,1625000000,487500000,84,13541666,20,758333320,866666680,Dalam Pantauan
KTR-AGP-2025850,KNS-612,Hasan Suryono,PRJ-04,Tipe 120/150 VIP,120,150,2025-12-29 20:42:00,Cash Keras Bertahap,1250000000,275000000,1525000000,457500000,84,12708333,27,800624991,724375009,Tertunggak >60 Hari
KTR-AGP-2025851,KNS-1982,Zaid Saputra,PRJ-05,Tipe 36/60,36,60,2025-01-27 20:01:00,Murabahah (Jual Beli Angsuran),240000000,52800000,292800000,146400000,84,1742857,32,202171424,90628576,Tertunggak >60 Hari
KTR-AGP-2025852,KNS-765,Laila Hakim,PRJ-03,Tipe 45/72,45,72,2025-09-03 10:51:00,Cash Keras Bertahap,380000000,114000000,494000000,49400000,36,12350000,16,247000000,247000000,Lancar
KTR-AGP-2025853,KNS-2715,Fikri Santoso,PRJ-02,Tipe 120/150 VIP,120,150,2025-07-09 17:04:00,Istishna' (Pesan Bangun),1250000000,225000000,1475000000,295000000,84,14047619,18,547857142,927142858,Lunas Dini
KTR-AGP-2025854,KNS-975,Aisyah Santoso,PRJ-05,Tipe 120/150 VIP,120,150,2025-09-08 20:16:00,IMBT (Sewa Beli / Leasing),1250000000,225000000,1475000000,442500000,36,28680555,35,1446319425,28680575,Lancar
KTR-AGP-2025855,KNS-1168,Ilham Firmansyah,PRJ-03,Tipe 45/72,45,72,2025-01-08 20:14:00,IMBT (Sewa Beli / Leasing),380000000,83600000,463600000,92720000,60,6181333,35,309066655,154533345,Lancar
KTR-AGP-2025856,KNS-523,Zahra Pratama,PRJ-02,Tipe 84/120,84,120,2025-03-04 21:53:00,IMBT (Sewa Beli / Leasing),780000000,140400000,920400000,184080000,60,12272000,23,466336000,454064000,Lancar
KTR-AGP-2025857,KNS-2867,Harun Suryono,PRJ-03,Tipe 60/90,60,90,2025-05-13 10:18:00,IMBT (Sewa Beli / Leasing),540000000,135000000,675000000,202500000,24,19687500,2,241875000,433125000,Tertunggak 1-30 Hari
KTR-AGP-2025858,KNS-2292,Ali Lestari,PRJ-04,Tipe 36/60,36,60,2025-11-01 19:43:00,Murabahah (Jual Beli Angsuran),240000000,72000000,312000000,31200000,60,4680000,10,78000000,234000000,Lancar
KTR-AGP-2025859,KNS-601,Taufiq Pratama,PRJ-04,Tipe 60/90,60,90,2025-07-13 17:01:00,Murabahah (Jual Beli Angsuran),540000000,162000000,702000000,351000000,60,5850000,16,444600000,257400000,Tertunggak 1-30 Hari
KTR-AGP-2025860,KNS-978,Rafi Ramadhan,PRJ-02,Tipe 60/90,60,90,2025-06-01 10:31:00,Murabahah (Jual Beli Angsuran),540000000,118800000,658800000,131760000,84,6274285,8,181954280,476845720,Dalam Pantauan
KTR-AGP-2025861,KNS-619,Aisyah Lestari,PRJ-01,Tipe 45/72,45,72,2025-09-29 21:28:00,Istishna' (Pesan Bangun),380000000,114000000,494000000,148200000,84,4116666,12,197599992,296400008,Dalam Pantauan
KTR-AGP-2025862,KNS-724,Muhammad Suryono,PRJ-05,Tipe 60/90,60,90,2025-11-11 10:09:00,Cash Keras Bertahap,540000000,162000000,702000000,351000000,24,14625000,20,643500000,58500000,Lancar
KTR-AGP-2025863,KNS-1845,Dina Kusuma,PRJ-03,Tipe 60/90,60,90,2025-12-26 09:31:00,IMBT (Sewa Beli / Leasing),540000000,162000000,702000000,140400000,84,6685714,24,300857136,401142864,Lancar
KTR-AGP-2025864,KNS-1642,Umar Utami,PRJ-05,Tipe 60/90,60,90,2025-01-14 21:50:00,IMBT (Sewa Beli / Leasing),540000000,97200000,637200000,63720000,84,6827142,19,193435698,443764302,Lancar
KTR-AGP-2025865,KNS-1956,Ibrahim Maulana,PRJ-03,Tipe 45/72,45,72,2025-05-30 09:19:00,Murabahah (Jual Beli Angsuran),380000000,83600000,463600000,139080000,60,5408666,3,155305998,308294002,Lancar
KTR-AGP-2025866,KNS-1887,Maryam Pratama,PRJ-02,Tipe 60/90,60,90,2025-09-01 16:26:00,Cash Keras Bertahap,540000000,118800000,658800000,329400000,84,3921428,33,458807124,199992876,Tertunggak >60 Hari
KTR-AGP-2025867,KNS-1976,Danang Firmansyah,PRJ-04,Tipe 84/120,84,120,2025-12-23 17:43:00,Cash Keras Bertahap,780000000,140400000,920400000,460200000,24,19175000,6,575250000,345150000,Lancar
KTR-AGP-2025868,KNS-1326,Danang Firmansyah,PRJ-01,Tipe 120/150 VIP,120,150,2025-11-24 17:58:00,Istishna' (Pesan Bangun),1250000000,312500000,1562500000,468750000,120,9114583,27,714843741,847656259,Lancar
KTR-AGP-2025869,KNS-2198,Rizky Saputra,PRJ-02,Tipe 45/72,45,72,2025-12-10 12:16:00,Cash Keras Bertahap,380000000,83600000,463600000,231800000,36,6438888,30,424966640,38633360,Lancar
KTR-AGP-2025870,KNS-2014,Ali Nugroho,PRJ-03,Tipe 84/120,84,120,2025-05-10 07:24:00,Cash Keras Bertahap,780000000,195000000,975000000,487500000,84,5803571,24,626785704,348214296,Tertunggak >60 Hari
KTR-AGP-2025871,KNS-2838,Rafi Santoso,PRJ-05,Tipe 45/72,45,72,2025-12-26 20:49:00,Murabahah (Jual Beli Angsuran),380000000,68400000,448400000,224200000,120,1868333,7,237278331,211121669,Lancar
KTR-AGP-2025872,KNS-2869,Rania Firmansyah,PRJ-01,Tipe 45/72,45,72,2025-08-11 09:17:00,Istishna' (Pesan Bangun),380000000,68400000,448400000,44840000,60,6726000,35,280250000,168150000,Lancar
KTR-AGP-2025873,KNS-2203,Rania Firmansyah,PRJ-02,Tipe 60/90,60,90,2025-06-12 13:25:00,Cash Keras Bertahap,540000000,135000000,675000000,67500000,120,5062500,27,204187500,470812500,Lunas Dini
KTR-AGP-2025874,KNS-2120,Fikri Pratama,PRJ-04,Tipe 45/72,45,72,2025-11-07 10:58:00,IMBT (Sewa Beli / Leasing),380000000,83600000,463600000,46360000,60,6954000,9,108946000,354654000,Lancar
KTR-AGP-2025875,KNS-1912,Safira Santoso,PRJ-05,Tipe 45/72,45,72,2025-02-05 08:13:00,Cash Keras Bertahap,380000000,83600000,463600000,139080000,120,2704333,23,201279659,262320341,Dalam Pantauan
KTR-AGP-2025876,KNS-1935,Ahmad Firmansyah,PRJ-02,Tipe 120/150 VIP,120,150,2025-11-26 18:29:00,IMBT (Sewa Beli / Leasing),1250000000,312500000,1562500000,312500000,60,20833333,28,895833324,666666676,Tertunggak >60 Hari
KTR-AGP-2025877,KNS-771,Ali Hakim,PRJ-05,Tipe 84/120,84,120,2025-01-22 13:00:00,Istishna' (Pesan Bangun),780000000,140400000,920400000,184080000,24,30680000,12,552240000,368160000,Lancar
KTR-AGP-2025878,KNS-2058,Umar Wijaya,PRJ-04,Tipe 36/60,36,60,2025-03-25 10:23:00,IMBT (Sewa Beli / Leasing),240000000,72000000,312000000,62400000,84,2971428,1,65371428,246628572,Lancar
KTR-AGP-2025879,KNS-650,Azizah Wijaya,PRJ-01,Tipe 45/72,45,72,2025-08-03 17:51:00,IMBT (Sewa Beli / Leasing),380000000,95000000,475000000,237500000,84,2827380,22,299702360,175297640,Lancar
KTR-AGP-2025880,KNS-1906,Hasan Saputra,PRJ-05,Tipe 60/90,60,90,2025-12-20 12:30:00,IMBT (Sewa Beli / Leasing),540000000,162000000,702000000,351000000,120,2925000,13,389025000,312975000,Dalam Pantauan
KTR-AGP-2025881,KNS-262,Taufiq Hidayat,PRJ-05,Tipe 60/90,60,90,2025-09-22 18:20:00,Murabahah (Jual Beli Angsuran),540000000,118800000,658800000,131760000,84,6274285,6,169405710,489394290,Lancar
KTR-AGP-2025882,KNS-1558,Nurul Saputra,PRJ-03,Tipe 84/120,84,120,2025-02-25 17:34:00,Murabahah (Jual Beli Angsuran),780000000,171600000,951600000,475800000,84,5664285,23,606078555,345521445,Lunas Dini
KTR-AGP-2025883,KNS-2542,Danang Maulana,PRJ-05,Tipe 45/72,45,72,2025-08-10 13:43:00,Cash Keras Bertahap,380000000,114000000,494000000,148200000,24,14408333,21,450774993,43225007,Lancar
KTR-AGP-2025884,KNS-2927,Rafi Lestari,PRJ-04,Tipe 120/150 VIP,120,150,2025-06-23 19:13:00,Murabahah (Jual Beli Angsuran),1250000000,275000000,1525000000,305000000,60,20333333,31,935333323,589666677,Lancar
KTR-AGP-2025885,KNS-1208,Farhan Kusuma,PRJ-01,Tipe 45/72,45,72,2025-11-25 07:42:00,Istishna' (Pesan Bangun),380000000,114000000,494000000,49400000,60,7410000,25,234650000,259350000,Lancar
KTR-AGP-2025886,KNS-1374,Farhan Maulana,PRJ-01,Tipe 36/60,36,60,2025-10-06 14:38:00,Istishna' (Pesan Bangun),240000000,72000000,312000000,156000000,120,1300000,33,198900000,113100000,Lancar
KTR-AGP-2025887,KNS-2311,Ibrahim Nugroho,PRJ-05,Tipe 84/120,84,120,2025-04-30 12:54:00,Murabahah (Jual Beli Angsuran),780000000,140400000,920400000,92040000,120,6903000,31,306033000,614367000,Tertunggak >60 Hari
KTR-AGP-2025888,KNS-1877,Nisa Utami,PRJ-01,Tipe 60/90,60,90,2025-11-28 21:19:00,Cash Keras Bertahap,540000000,162000000,702000000,70200000,120,5265000,16,154440000,547560000,Lancar
KTR-AGP-2025889,KNS-843,Muhammad Wijaya,PRJ-02,Tipe 120/150 VIP,120,150,2025-09-18 19:52:00,Cash Keras Bertahap,1250000000,275000000,1525000000,305000000,84,14523809,6,392142854,1132857146,Lancar
KTR-AGP-2025890,KNS-2420,Muhammad Lestari,PRJ-04,Tipe 60/90,60,90,2025-07-07 10:00:00,Murabahah (Jual Beli Angsuran),540000000,162000000,702000000,140400000,60,9360000,20,327600000,374400000,Dalam Pantauan
KTR-AGP-2025891,KNS-593,Farhan Wijaya,PRJ-02,Tipe 36/60,36,60,2025-05-09 11:26:00,Cash Keras Bertahap,240000000,72000000,312000000,156000000,36,4333333,3,168999999,143000001,Lancar
KTR-AGP-2025892,KNS-1017,Harun Ramadhan,PRJ-03,Tipe 45/72,45,72,2025-08-21 14:18:00,Istishna' (Pesan Bangun),380000000,95000000,475000000,142500000,36,9236111,17,299513887,175486113,Lancar
KTR-AGP-2025893,KNS-202,Putri Wijaya,PRJ-04,Tipe 60/90,60,90,2025-09-01 20:36:00,IMBT (Sewa Beli / Leasing),540000000,97200000,637200000,318600000,84,3792857,6,341357142,295842858,Lancar
KTR-AGP-2025894,KNS-1738,Khadijah Lestari,PRJ-05,Tipe 36/60,36,60,2025-04-25 08:23:00,Murabahah (Jual Beli Angsuran),240000000,43200000,283200000,28320000,120,2124000,32,96288000,186912000,Lancar
KTR-AGP-2025895,KNS-2799,Maryam Lestari,PRJ-03,Tipe 36/60,36,60,2025-12-21 20:31:00,Istishna' (Pesan Bangun),240000000,60000000,300000000,30000000,24,11250000,12,165000000,135000000,Tertunggak >60 Hari
KTR-AGP-2025896,KNS-2164,Nurul Firmansyah,PRJ-04,Tipe 36/60,36,60,2025-04-01 09:46:00,Istishna' (Pesan Bangun),240000000,60000000,300000000,30000000,84,3214285,22,100714270,199285730,Lancar
KTR-AGP-2025897,KNS-1870,Harun Pratama,PRJ-05,Tipe 120/150 VIP,120,150,2025-06-28 14:51:00,Istishna' (Pesan Bangun),1250000000,312500000,1562500000,468750000,60,18229166,25,924479150,638020850,Lancar
KTR-AGP-2025898,KNS-1509,Taufiq Maulana,PRJ-03,Tipe 45/72,45,72,2025-10-12 18:03:00,IMBT (Sewa Beli / Leasing),380000000,68400000,448400000,44840000,24,16815000,4,112100000,336300000,Lunas Dini
KTR-AGP-2025899,KNS-2770,Muhammad Saputra,PRJ-05,Tipe 60/90,60,90,2025-03-28 17:35:00,Murabahah (Jual Beli Angsuran),540000000,118800000,658800000,197640000,24,19215000,15,485865000,172935000,Lancar
KTR-AGP-2025900,KNS-922,Umar Saputra,PRJ-05,Tipe 60/90,60,90,2025-04-02 07:34:00,Murabahah (Jual Beli Angsuran),540000000,135000000,675000000,337500000,24,14062500,2,365625000,309375000,Tertunggak >60 Hari
KTR-AGP-2025901,KNS-589,Hana Hidayat,PRJ-01,Tipe 120/150 VIP,120,150,2025-01-19 07:32:00,Istishna' (Pesan Bangun),1250000000,375000000,1625000000,162500000,120,12187500,27,491562500,1133437500,Lancar
KTR-AGP-2025902,KNS-1018,Fikri Hakim,PRJ-01,Tipe 120/150 VIP,120,150,2025-05-10 15:37:00,IMBT (Sewa Beli / Leasing),1250000000,225000000,1475000000,147500000,24,55312500,24,1475000000,0,Dalam Pantauan
KTR-AGP-2025903,KNS-879,Ibrahim Lestari,PRJ-01,Tipe 45/72,45,72,2025-12-20 10:35:00,Murabahah (Jual Beli Angsuran),380000000,95000000,475000000,237500000,36,6597222,13,323263886,151736114,Lancar
KTR-AGP-2025904,KNS-1071,Maryam Nugroho,PRJ-04,Tipe 84/120,84,120,2025-10-09 17:27:00,Istishna' (Pesan Bangun),780000000,234000000,1014000000,202800000,36,22533333,4,292933332,721066668,Lunas Dini
KTR-AGP-2025905,KNS-849,Rania Suryono,PRJ-04,Tipe 45/72,45,72,2025-07-11 12:51:00,IMBT (Sewa Beli / Leasing),380000000,95000000,475000000,142500000,84,3958333,12,189999996,285000004,Lancar
KTR-AGP-2025906,KNS-1464,Putri Nugroho,PRJ-04,Tipe 36/60,36,60,2025-10-08 20:05:00,IMBT (Sewa Beli / Leasing),240000000,60000000,300000000,60000000,84,2857142,35,159999970,140000030,Tertunggak 1-30 Hari
KTR-AGP-2025907,KNS-1940,Farhan Maulana,PRJ-02,Tipe 36/60,36,60,2025-04-09 07:24:00,Istishna' (Pesan Bangun),240000000,72000000,312000000,93600000,60,3640000,10,130000000,182000000,Lancar
KTR-AGP-2025908,KNS-2965,Farhan Pratama,PRJ-05,Tipe 60/90,60,90,2025-01-21 11:04:00,Istishna' (Pesan Bangun),540000000,118800000,658800000,131760000,36,14640000,17,380640000,278160000,Lancar
KTR-AGP-2025909,KNS-1679,Zaid Saputra,PRJ-02,Tipe 60/90,60,90,2025-09-05 19:55:00,Murabahah (Jual Beli Angsuran),540000000,97200000,637200000,127440000,120,4248000,29,250632000,386568000,Lancar
KTR-AGP-2025910,KNS-539,Rania Utami,PRJ-02,Tipe 84/120,84,120,2025-08-08 18:13:00,Istishna' (Pesan Bangun),780000000,234000000,1014000000,507000000,120,4225000,10,549250000,464750000,Lancar
KTR-AGP-2025911,KNS-2757,Dina Ramadhan,PRJ-01,Tipe 84/120,84,120,2025-07-16 09:40:00,Cash Keras Bertahap,780000000,234000000,1014000000,507000000,60,8450000,32,777400000,236600000,Lunas Dini
KTR-AGP-2025912,KNS-2120,Fikri Hakim,PRJ-05,Tipe 120/150 VIP,120,150,2025-04-10 07:17:00,Murabahah (Jual Beli Angsuran),1250000000,275000000,1525000000,152500000,84,16339285,6,250535710,1274464290,Lancar
KTR-AGP-2025913,KNS-768,Ali Lestari,PRJ-03,Tipe 60/90,60,90,2025-10-30 19:33:00,IMBT (Sewa Beli / Leasing),540000000,162000000,702000000,351000000,84,4178571,27,463821417,238178583,Dalam Pantauan
KTR-AGP-2025914,KNS-2169,Maryam Wijaya,PRJ-01,Tipe 60/90,60,90,2025-05-09 14:29:00,Cash Keras Bertahap,540000000,135000000,675000000,202500000,36,13125000,9,320625000,354375000,Lunas Dini
