id_transaksi_mart,tgl_transaksi,id_anggota,nama_anggota,tipe_anggota,kode_produk,nama_produk,kategori_produk,harga_jual,harga_pokok,qty_beli,total_omset,laba_kotor,metode_bayar,poin_keaktifan_shu
KOP-20251544,2025-06-22 14:40:00,ANG-1387,Dina Pratama,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Tunai,2
KOP-20251545,2025-03-25 10:01:00,ANG-1370,Ibrahim Santoso,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Tunai,4
KOP-20251546,2025-09-28 20:26:00,ANG-879,Zaid Wijaya,Santri Asrama,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Tunai,2
KOP-20251547,2025-12-09 13:23:00,ANG-626,Putri Kusuma,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,6,150000,78000,Tunai,12
KOP-20251548,2025-08-12 13:47:00,ANG-1520,Zahra Hidayat,Masyarakat Sekitar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251549,2025-06-10 17:40:00,ANG-209,Salma Hidayat,Ustadz / Pengajar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,3,54000,21000,Kartu Santri Smart Card (RFID),6
KOP-20251550,2025-02-21 09:50:00,ANG-2082,Ahmad Hidayat,Karyawan Pesantren,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,QRIS Kopontren,4
KOP-20251551,2025-12-25 11:19:00,ANG-2446,Zahra Nugroho,Karyawan Pesantren,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,3,135000,51000,Tunai,6
KOP-20251552,2025-12-25 10:40:00,ANG-402,Nurul Suryono,Wali Santri / Tamu,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,QRIS Kopontren,0
KOP-20251553,2025-03-28 19:00:00,ANG-232,Maryam Wijaya,Masyarakat Sekitar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Saldo Tabungan Wadiah Koperasi,0
KOP-20251554,2025-12-04 13:00:00,ANG-812,Fatimah Maulana,Wali Santri / Tamu,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,6,270000,102000,Tunai,0
KOP-20251555,2025-03-10 10:04:00,ANG-1870,Ilham Utami,Karyawan Pesantren,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,6,21000,9000,Saldo Tabungan Wadiah Koperasi,12
KOP-20251556,2025-07-27 08:28:00,ANG-2473,Ahmad Santoso,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Kartu Santri Smart Card (RFID),2
KOP-20251557,2025-04-22 14:30:00,ANG-541,Zaid Pratama,Masyarakat Sekitar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,2,16000,7000,QRIS Kopontren,0
KOP-20251558,2025-04-30 15:11:00,ANG-2302,Salma Pratama,Santri Asrama,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,4,14000,6000,Kartu Santri Smart Card (RFID),8
KOP-20251559,2025-12-01 19:10:00,ANG-1834,Fikri Kusuma,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Tunai,2
KOP-20251560,2025-08-23 10:35:00,ANG-1671,Danang Utami,Santri Asrama,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,3,54000,21000,Kartu Santri Smart Card (RFID),6
KOP-20251561,2025-09-23 10:31:00,ANG-1693,Taufiq Suryono,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,6,570000,210000,Saldo Tabungan Wadiah Koperasi,12
KOP-20251562,2025-12-23 21:40:00,ANG-1147,Umar Kusuma,Santri Asrama,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Tunai,2
KOP-20251563,2025-01-16 10:38:00,ANG-1429,Safira Ramadhan,Santri Asrama,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,Saldo Tabungan Wadiah Koperasi,4
KOP-20251564,2025-04-19 17:03:00,ANG-1667,Salma Wijaya,Masyarakat Sekitar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Kartu Santri Smart Card (RFID),0
KOP-20251565,2025-10-02 09:16:00,ANG-1724,Hana Kusuma,Karyawan Pesantren,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Tunai,2
KOP-20251566,2025-09-22 10:14:00,ANG-1998,Ibrahim Pratama,Wali Santri / Tamu,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251567,2025-11-12 15:31:00,ANG-669,Umar Pratama,Wali Santri / Tamu,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,4,32000,14000,Kartu Santri Smart Card (RFID),0
KOP-20251568,2025-07-25 13:32:00,ANG-603,Ahmad Hidayat,Santri Asrama,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,6,48000,21000,Saldo Tabungan Wadiah Koperasi,12
KOP-20251569,2025-12-22 21:26:00,ANG-362,Ali Lestari,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,Tunai,4
KOP-20251570,2025-11-02 13:45:00,ANG-1265,Ahmad Kusuma,Karyawan Pesantren,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Tunai,2
KOP-20251571,2025-09-20 16:42:00,ANG-321,Rizky Utami,Masyarakat Sekitar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,QRIS Kopontren,0
KOP-20251572,2025-09-23 20:57:00,ANG-726,Ilham Ramadhan,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Saldo Tabungan Wadiah Koperasi,2
KOP-20251573,2025-03-15 07:20:00,ANG-119,Dina Kusuma,Karyawan Pesantren,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,6,48000,21000,QRIS Kopontren,12
KOP-20251574,2025-12-03 10:32:00,ANG-158,Harun Suryono,Masyarakat Sekitar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,3,18000,8400,Kartu Santri Smart Card (RFID),0
KOP-20251575,2025-02-01 15:21:00,ANG-2055,Farhan Nugroho,Masyarakat Sekitar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,4,380000,140000,Kartu Santri Smart Card (RFID),0
KOP-20251576,2025-02-17 14:46:00,ANG-419,Fikri Maulana,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Kartu Santri Smart Card (RFID),4
KOP-20251577,2025-03-17 16:44:00,ANG-1401,Umar Hidayat,Wali Santri / Tamu,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,4,14000,6000,Tunai,0
KOP-20251578,2025-06-29 11:15:00,ANG-1795,Taufiq Nugroho,Wali Santri / Tamu,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Saldo Tabungan Wadiah Koperasi,0
KOP-20251579,2025-11-07 18:55:00,ANG-2083,Taufiq Suryono,Santri Asrama,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,3,24000,10500,QRIS Kopontren,6
KOP-20251580,2025-01-01 08:02:00,ANG-2290,Muhammad Pratama,Masyarakat Sekitar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,QRIS Kopontren,0
KOP-20251581,2025-04-04 11:49:00,ANG-364,Ahmad Firmansyah,Wali Santri / Tamu,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,6,150000,78000,QRIS Kopontren,0
KOP-20251582,2025-12-02 07:23:00,ANG-1500,Maryam Suryono,Masyarakat Sekitar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Kartu Santri Smart Card (RFID),0
KOP-20251583,2025-07-09 15:52:00,ANG-2297,Khadijah Santoso,Karyawan Pesantren,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,2,130000,50000,QRIS Kopontren,4
KOP-20251584,2025-12-27 20:59:00,ANG-2287,Hana Firmansyah,Wali Santri / Tamu,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,QRIS Kopontren,0
KOP-20251585,2025-04-16 13:53:00,ANG-1416,Taufiq Firmansyah,Wali Santri / Tamu,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,3,18000,8400,QRIS Kopontren,0
KOP-20251586,2025-10-06 09:22:00,ANG-1512,Safira Maulana,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,3,75000,39000,Saldo Tabungan Wadiah Koperasi,6
KOP-20251587,2025-01-22 11:28:00,ANG-1366,Khadijah Kusuma,Ustadz / Pengajar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Kartu Santri Smart Card (RFID),2
KOP-20251588,2025-04-22 14:44:00,ANG-976,Fikri Hidayat,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,3,54000,21000,QRIS Kopontren,0
KOP-20251589,2025-07-08 14:17:00,ANG-1031,Ilham Wijaya,Karyawan Pesantren,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,2,130000,50000,QRIS Kopontren,4
KOP-20251590,2025-09-06 14:15:00,ANG-1289,Salma Nugroho,Ustadz / Pengajar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,4,24000,11200,Saldo Tabungan Wadiah Koperasi,8
KOP-20251591,2025-05-18 11:59:00,ANG-388,Hasan Hakim,Ustadz / Pengajar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Tunai,2
KOP-20251592,2025-06-11 09:29:00,ANG-2183,Zaid Ramadhan,Wali Santri / Tamu,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251593,2025-05-10 16:36:00,ANG-885,Nisa Ramadhan,Karyawan Pesantren,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,QRIS Kopontren,2
KOP-20251594,2025-01-28 15:55:00,ANG-1772,Zaid Firmansyah,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,4,260000,100000,Tunai,8
KOP-20251595,2025-03-17 13:50:00,ANG-2097,Salma Firmansyah,Karyawan Pesantren,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,3,285000,105000,Saldo Tabungan Wadiah Koperasi,6
KOP-20251596,2025-10-07 19:02:00,ANG-1537,Zaid Kusuma,Santri Asrama,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Kartu Santri Smart Card (RFID),4
KOP-20251597,2025-01-20 14:36:00,ANG-1675,Nisa Hakim,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,QRIS Kopontren,2
KOP-20251598,2025-01-23 21:30:00,ANG-919,Fikri Wijaya,Karyawan Pesantren,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Kartu Santri Smart Card (RFID),2
KOP-20251599,2025-01-24 20:57:00,ANG-1371,Muhammad Lestari,Ustadz / Pengajar,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,QRIS Kopontren,4
KOP-20251600,2025-10-10 10:06:00,ANG-1827,Ibrahim Santoso,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,Kartu Santri Smart Card (RFID),0
KOP-20251601,2025-11-29 21:36:00,ANG-479,Rafi Santoso,Karyawan Pesantren,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,Kartu Santri Smart Card (RFID),2
KOP-20251602,2025-08-24 20:48:00,ANG-683,Rizky Pratama,Masyarakat Sekitar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Kartu Santri Smart Card (RFID),0
KOP-20251603,2025-12-25 19:07:00,ANG-1626,Ibrahim Utami,Ustadz / Pengajar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,3,24000,10500,Tunai,6
KOP-20251604,2025-06-09 16:37:00,ANG-1666,Muhammad Wijaya,Ustadz / Pengajar,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,3,10500,4500,Kartu Santri Smart Card (RFID),6
KOP-20251605,2025-12-31 15:43:00,ANG-2460,Ali Lestari,Wali Santri / Tamu,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251606,2025-01-16 16:38:00,ANG-327,Dina Kusuma,Wali Santri / Tamu,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,3,285000,105000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251607,2025-04-17 12:58:00,ANG-357,Laila Hidayat,Santri Asrama,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,QRIS Kopontren,4
KOP-20251608,2025-06-29 17:37:00,ANG-2100,Putri Firmansyah,Santri Asrama,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,4,14000,6000,Saldo Tabungan Wadiah Koperasi,8
KOP-20251609,2025-08-14 09:30:00,ANG-1427,Khadijah Kusuma,Masyarakat Sekitar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251610,2025-04-15 17:49:00,ANG-956,Hana Saputra,Wali Santri / Tamu,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,3,135000,51000,QRIS Kopontren,0
KOP-20251611,2025-03-09 13:35:00,ANG-2095,Umar Santoso,Wali Santri / Tamu,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Kartu Santri Smart Card (RFID),0
KOP-20251612,2025-07-13 14:50:00,ANG-1127,Fatimah Hakim,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Kartu Santri Smart Card (RFID),2
KOP-20251613,2025-10-04 20:42:00,ANG-999,Khadijah Utami,Wali Santri / Tamu,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,QRIS Kopontren,0
KOP-20251614,2025-07-13 16:15:00,ANG-1453,Zahra Nugroho,Ustadz / Pengajar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Saldo Tabungan Wadiah Koperasi,2
KOP-20251615,2025-05-22 17:08:00,ANG-2082,Ilham Lestari,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,Saldo Tabungan Wadiah Koperasi,4
KOP-20251616,2025-12-30 11:53:00,ANG-1159,Fikri Suryono,Karyawan Pesantren,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,4,180000,68000,Kartu Santri Smart Card (RFID),8
KOP-20251617,2025-09-22 21:20:00,ANG-1109,Azizah Nugroho,Wali Santri / Tamu,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,4,32000,14000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251618,2025-01-07 11:32:00,ANG-1138,Nurul Firmansyah,Wali Santri / Tamu,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,Kartu Santri Smart Card (RFID),0
KOP-20251619,2025-05-11 07:54:00,ANG-441,Umar Santoso,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Tunai,2
KOP-20251620,2025-11-12 10:37:00,ANG-289,Putri Kusuma,Ustadz / Pengajar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Kartu Santri Smart Card (RFID),4
KOP-20251621,2025-07-22 11:34:00,ANG-2381,Zahra Hidayat,Masyarakat Sekitar,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,3,10500,4500,Kartu Santri Smart Card (RFID),0
KOP-20251622,2025-02-28 19:00:00,ANG-1042,Ilham Firmansyah,Masyarakat Sekitar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,6,570000,210000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251623,2025-08-10 21:47:00,ANG-143,Azizah Pratama,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Tunai,0
KOP-20251624,2025-01-25 16:33:00,ANG-319,Umar Saputra,Masyarakat Sekitar,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,QRIS Kopontren,0
KOP-20251625,2025-07-30 20:05:00,ANG-802,Harun Pratama,Wali Santri / Tamu,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251626,2025-12-11 19:23:00,ANG-1495,Rafi Hidayat,Santri Asrama,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Tunai,2
KOP-20251627,2025-10-19 11:11:00,ANG-1094,Dina Suryono,Santri Asrama,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,Tunai,4
KOP-20251628,2025-05-24 21:19:00,ANG-1002,Rafi Kusuma,Wali Santri / Tamu,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,2,16000,7000,Kartu Santri Smart Card (RFID),0
KOP-20251629,2025-06-14 11:07:00,ANG-1948,Harun Maulana,Ustadz / Pengajar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Saldo Tabungan Wadiah Koperasi,2
KOP-20251630,2025-04-16 16:46:00,ANG-557,Safira Pratama,Wali Santri / Tamu,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Saldo Tabungan Wadiah Koperasi,0
KOP-20251631,2025-01-08 18:28:00,ANG-1504,Danang Lestari,Masyarakat Sekitar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Kartu Santri Smart Card (RFID),0
KOP-20251632,2025-07-04 20:46:00,ANG-2385,Rania Suryono,Karyawan Pesantren,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,2,16000,7000,Tunai,4
KOP-20251633,2025-12-29 17:02:00,ANG-319,Zaid Utami,Santri Asrama,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,Saldo Tabungan Wadiah Koperasi,4
KOP-20251634,2025-09-24 08:34:00,ANG-533,Maryam Santoso,Masyarakat Sekitar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,QRIS Kopontren,0
KOP-20251635,2025-06-03 18:11:00,ANG-131,Rania Firmansyah,Ustadz / Pengajar,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,QRIS Kopontren,2
KOP-20251636,2025-09-19 13:52:00,ANG-698,Nurul Santoso,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,Kartu Santri Smart Card (RFID),4
KOP-20251637,2025-09-22 16:23:00,ANG-534,Maryam Ramadhan,Masyarakat Sekitar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,3,24000,10500,QRIS Kopontren,0
KOP-20251638,2025-12-08 11:23:00,ANG-2316,Nisa Hakim,Ustadz / Pengajar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Saldo Tabungan Wadiah Koperasi,2
KOP-20251639,2025-03-22 15:20:00,ANG-470,Zahra Utami,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Kartu Santri Smart Card (RFID),4
KOP-20251640,2025-01-30 07:27:00,ANG-1154,Rafi Suryono,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,QRIS Kopontren,2
KOP-20251641,2025-10-02 08:20:00,ANG-1479,Zahra Nugroho,Masyarakat Sekitar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,Tunai,0
KOP-20251642,2025-11-26 14:58:00,ANG-2163,Harun Santoso,Wali Santri / Tamu,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,4,180000,68000,Kartu Santri Smart Card (RFID),0
KOP-20251643,2025-01-09 20:23:00,ANG-209,Farhan Pratama,Wali Santri / Tamu,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Tunai,0
KOP-20251644,2025-08-17 09:51:00,ANG-1410,Ibrahim Utami,Karyawan Pesantren,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,3,135000,51000,QRIS Kopontren,6
KOP-20251645,2025-04-11 11:54:00,ANG-139,Ibrahim Lestari,Santri Asrama,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,Tunai,4
KOP-20251646,2025-02-10 16:18:00,ANG-353,Laila Pratama,Santri Asrama,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,Kartu Santri Smart Card (RFID),4
KOP-20251647,2025-04-14 07:02:00,ANG-2323,Ibrahim Utami,Santri Asrama,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Kartu Santri Smart Card (RFID),2
KOP-20251648,2025-02-07 10:33:00,ANG-1184,Azizah Santoso,Masyarakat Sekitar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,QRIS Kopontren,0
KOP-20251649,2025-12-17 08:22:00,ANG-1739,Salma Wijaya,Santri Asrama,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,Kartu Santri Smart Card (RFID),2
KOP-20251650,2025-11-04 10:39:00,ANG-1657,Taufiq Saputra,Ustadz / Pengajar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Tunai,4
KOP-20251651,2025-11-06 18:43:00,ANG-1772,Zaid Utami,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,QRIS Kopontren,0
KOP-20251652,2025-05-09 17:22:00,ANG-196,Aisyah Suryono,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Kartu Santri Smart Card (RFID),2
KOP-20251653,2025-12-18 19:51:00,ANG-974,Salma Hakim,Ustadz / Pengajar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,3,24000,10500,Saldo Tabungan Wadiah Koperasi,6
KOP-20251654,2025-05-30 20:27:00,ANG-1546,Muhammad Utami,Wali Santri / Tamu,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,4,100000,52000,QRIS Kopontren,0
KOP-20251655,2025-04-05 13:17:00,ANG-638,Zaid Hakim,Masyarakat Sekitar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,2,16000,7000,Kartu Santri Smart Card (RFID),0
KOP-20251656,2025-11-24 19:36:00,ANG-2112,Taufiq Utami,Wali Santri / Tamu,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Saldo Tabungan Wadiah Koperasi,0
KOP-20251657,2025-04-24 12:38:00,ANG-1678,Danang Kusuma,Masyarakat Sekitar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,QRIS Kopontren,0
KOP-20251658,2025-05-13 18:23:00,ANG-770,Ibrahim Hidayat,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Tunai,2
KOP-20251659,2025-10-23 21:28:00,ANG-1271,Zaid Wijaya,Masyarakat Sekitar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Tunai,0
KOP-20251660,2025-08-08 15:50:00,ANG-755,Ibrahim Hakim,Ustadz / Pengajar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,QRIS Kopontren,2
KOP-20251661,2025-04-27 15:12:00,ANG-403,Ibrahim Hakim,Ustadz / Pengajar,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,QRIS Kopontren,4
KOP-20251662,2025-06-16 09:55:00,ANG-2265,Ali Suryono,Karyawan Pesantren,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,4,24000,11200,Tunai,8
KOP-20251663,2025-09-15 18:14:00,ANG-198,Nurul Suryono,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Tunai,0
KOP-20251664,2025-11-26 21:25:00,ANG-1713,Fikri Wijaya,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,Saldo Tabungan Wadiah Koperasi,4
KOP-20251665,2025-01-05 17:32:00,ANG-1201,Ali Suryono,Ustadz / Pengajar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,Tunai,2
